"fem" "ment" "phd" "mar" "kid5" "art"
"1" "0" 7.9999986 1.38 "1" 2 3
"2" "0" 6.9999995 4.29 "0" 0 0
"3" "0" 47.0000076 3.8499999 "0" 0 4
"4" "0" 19.0000019 3.5899999 "1" 1 1
"5" "0" 0 1.8099999 "1" 0 1
"6" "0" 6.0000005 3.5899999 "1" 1 1
"7" "0" 9.999999 2.1199999 "1" 1 0
"8" "0" 1.9999999 4.29 "1" 0 0
"9" "0" 1.9999999 2.5799999 "1" 2 3
"10" "0" 3.999999 1.8 "1" 1 3
"11" "0" 0 4.29 "1" 2 1
"12" "0" 3 2.76 "1" 1 0
"13" "0" 9.999999 3.4100001 "1" 1 1
"14" "0" 6.9999995 4.3400002 "1" 3 2
"15" "0" 15.000001 3.8499999 "1" 2 5
"16" "0" 1.9999999 2.0999999 "1" 0 2
"17" "0" 13 4.29 "1" 0 2
"18" "0" 15.000001 4.29 "0" 0 1
"19" "0" 4.9999981 2.26 "1" 1 0
"20" "0" 6.0000005 2.0999999 "0" 0 0
"21" "0" 12 2.26 "1" 0 3
"22" "0" 15.9999981 3.8499999 "1" 1 6
"23" "0" 6.9999995 4.29 "0" 0 4
"24" "0" 6.0000005 1.8 "1" 2 2
"25" "0" 1.9999999 2.26 "0" 0 2
"26" "0" 0 2.0999999 "0" 0 0
"27" "0" 30.0000019 4.29 "1" 0 4
"28" "0" 9.999999 4.29 "1" 2 1
"29" "0" 1.9999999 2.0999999 "1" 0 1
"30" "0" 0.9999999 3.5899999 "1" 0 7
"31" "0" 3 3.4200001 "1" 1 2
"32" "0" 9.999999 4.29 "1" 2 2
"33" "0" 9.999999 4.29 "0" 0 2
"34" "0" 0.9999999 3.3399999 "1" 2 0
"35" "0" 1.9999999 4.29 "0" 0 0
"36" "0" 10.9999971 4.29 "1" 0 1
"37" "0" 4.9999981 3.6199999 "1" 0 4
"38" "0" 0 4.29 "1" 3 1
"39" "0" 3.999999 4.3400002 "1" 1 1
"40" "0" 1.9999999 1.25 "1" 1 2
"41" "0" 19.0000019 4.3400002 "0" 0 7
"42" "0" 3 1.67 "1" 3 1
"43" "0" 0 3.47 "0" 0 0
"44" "0" 0.9999999 2.26 "1" 1 1
"45" "0" 0.9999999 1.8 "1" 0 1
"46" "0" 17 4.3400002 "1" 2 2
"47" "0" 3 3.5899999 "0" 0 2
"48" "0" 0.9999999 1.75 "1" 2 1
"49" "0" 6.0000005 4.29 "0" 0 1
"50" "0" 0 2.0999999 "1" 1 0
"51" "0" 15.000001 4.29 "1" 2 0
"52" "0" 0 2.0999999 "1" 1 0
"53" "0" 26.9999981 3.3199999 "1" 2 2
"54" "0" 4.9999981 4.3400002 "1" 0 2
"55" "0" 6.9999995 3.4100001 "0" 0 4
"56" "0" 0 4.29 "1" 0 1
"57" "0" 10.9999971 3.1900001 "1" 0 2
"58" "0" 13 4.29 "1" 0 2
"59" "0" 3.999999 1.74 "1" 2 1
"60" "0" 3.999999 2.76 "0" 0 1
"61" "0" 26.9999981 3.5899999 "1" 1 7
"62" "0" 9.999999 1.8099999 "1" 0 4
"63" "0" 13 4.29 "1" 1 2
"64" "0" 0.9999999 4.29 "1" 1 1
"65" "0" 6.0000005 2.76 "0" 0 1
"66" "0" 6.0000005 3.47 "0" 0 6
"67" "0" 4.9999981 2.5 "1" 2 2
"68" "0" 1.9999999 1.25 "1" 0 5
"69" "0" 13.9999971 3.5899999 "1" 1 3
"70" "0" 0 2.0999999 "1" 1 0
"71" "0" 12 3.5899999 "1" 0 1
"72" "0" 6.9999995 3.5899999 "1" 3 0
"73" "0" 3 1.75 "1" 0 1
"74" "0" 1.9999999 1.75 "1" 2 1
"75" "0" 1.9999999 3.5899999 "1" 1 1
"76" "0" 1.9999999 4.29 "0" 0 1
"77" "0" 0 4.29 "0" 0 0
"78" "0" 0 2.0999999 "1" 1 0
"79" "0" 0 2.6099999 "1" 0 3
"80" "0" 30.0000019 4.29 "1" 0 5
"81" "0" 21 1.74 "1" 0 16
"82" "0" 4.9999981 2.76 "1" 0 1
"83" "0" 9 4.29 "0" 0 0
"84" "0" 7.9999986 2.76 "1" 2 1
"85" "0" 25 4.29 "1" 2 3
"86" "0" 0 3.47 "1" 1 5
"87" "0" 4.9999981 2.5799999 "1" 2 0
"88" "0" 0.9999999 2.1400001 "1" 0 0
"89" "0" 4.9999981 2.26 "0" 0 0
"90" "0" 0 4.29 "1" 2 3
"91" "0" 15.000001 4.29 "1" 0 3
"92" "0" 30.0000019 4.29 "0" 0 3
"93" "0" 1.9999999 2.2 "1" 0 0
"94" "0" 6.0000005 1.8 "1" 2 3
"95" "0" 0 2.0999999 "1" 2 1
"96" "0" 13 4.29 "1" 1 1
"97" "0" 0 4.29 "0" 0 0
"98" "0" 12 2.0999999 "1" 1 0
"99" "0" 30.0000019 4.29 "1" 2 2
"100" "0" 4.9999981 1.8099999 "1" 1 1
"101" "0" 9.999999 4.3400002 "1" 0 1
"102" "0" 4.9999981 4.29 "1" 1 0
"103" "0" 3.999999 2.5 "1" 2 1
"104" "0" 13 2.05 "1" 2 4
"105" "0" 7.9999986 3.47 "1" 0 3
"106" "0" 6.0000005 2.6099999 "1" 1 1
"107" "0" 6.0000005 4.29 "1" 2 1
"108" "0" 25 4.29 "0" 0 2
"109" "0" 1.9999999 4.29 "1" 1 2
"110" "0" 9 4.3400002 "1" 0 6
"111" "0" 9.999999 2.1199999 "1" 1 0
"112" "0" 3 2.76 "1" 0 2
"113" "0" 1.9999999 4.29 "1" 2 0
"114" "0" 0 2.5 "1" 0 1
"115" "0" 6.0000005 4.3400002 "1" 0 5
"116" "0" 7.9999986 2.76 "1" 1 2
"117" "0" 9.999999 3.1900001 "1" 1 2
"118" "0" 7.9999986 4.6199999 "0" 0 3
"119" "0" 6.0000005 3.1500001 "1" 2 0
"120" "0" 21 2.55 "1" 1 4
"121" "0" 3.999999 1.52 "1" 0 0
"122" "0" 1.9999999 1.72 "1" 2 4
"123" "0" 0.9999999 1.78 "1" 1 2
"124" "0" 17 2.8599999 "1" 1 1
"125" "0" 30.0000019 4.6199999 "1" 2 0
