"PainLevel" "Codeine" "Acupuncture" "Relief"
"1" 1 1 1 0
"2" 1 2 1 0.5
"3" 1 1 2 0.6
"4" 1 2 2 1.2
"5" 2 1 1 0.3
"6" 2 2 1 0.6
"7" 2 1 2 0.7
"8" 2 2 2 1.3
"9" 3 1 1 0.4
"10" 3 2 1 0.8
"11" 3 1 2 0.8
"12" 3 2 2 1.6
"13" 4 1 1 0.4
"14" 4 2 1 0.7
"15" 4 1 2 0.9
"16" 4 2 2 1.5
"17" 5 1 1 0.6
"18" 5 2 1 1
"19" 5 1 2 1.5
"20" 5 2 2 1.9
"21" 6 1 1 0.9
"22" 6 2 1 1.4
"23" 6 1 2 1.6
"24" 6 2 2 2.3
"25" 7 1 1 1
"26" 7 2 1 1.8
"27" 7 1 2 1.7
"28" 7 2 2 2.1
"29" 8 1 1 1.2
"30" 8 2 1 1.7
"31" 8 1 2 1.6
"32" 8 2 2 2.4
