"id" "agegrp" "piat"
"1" "1" 6.5 18
"2" "1" 8.5 35
"3" "1" 10.5 59
"4" "2" 6.5 18
"5" "2" 8.5 25
"6" "2" 10.5 28
"7" "3" 6.5 18
"8" "3" 8.5 23
"9" "3" 10.5 32
"10" "4" 6.5 18
"11" "4" 8.5 31
"12" "4" 10.5 50
"13" "5" 6.5 18
"14" "5" 8.5 33
"15" "5" 10.5 53
"16" "6" 6.5 18
"17" "6" 8.5 28
"18" "6" 10.5 31
"19" "7" 6.5 17
"20" "7" 8.5 28
"21" "7" 10.5 28
"22" "8" 6.5 17
"23" "8" 8.5 29
"24" "8" 10.5 41
"25" "9" 6.5 28
"26" "9" 8.5 26
"27" "9" 10.5 26
"28" "10" 6.5 16
"29" "10" 8.5 20
"30" "10" 10.5 21
"31" "11" 6.5 18
"32" "11" 8.5 28
"33" "11" 10.5 42
"34" "12" 6.5 18
"35" "12" 8.5 31
"36" "12" 10.5 57
"37" "13" 6.5 18
"38" "13" 8.5 41
"39" "13" 10.5 49
"40" "14" 6.5 18
"41" "14" 8.5 31
"42" "14" 10.5 52
"43" "15" 6.5 18
"44" "15" 8.5 33
"45" "15" 10.5 44
"46" "16" 6.5 18
"47" "16" 8.5 43
"48" "16" 10.5 46
"49" "17" 6.5 37
"50" "17" 8.5 28
"51" "17" 10.5 29
"52" "18" 6.5 16
"53" "18" 8.5 27
"54" "18" 10.5 27
"55" "19" 6.5 18
"56" "19" 8.5 18
"57" "19" 10.5 26
"58" "20" 6.5 18
"59" "20" 8.5 38
"60" "20" 10.5 47
"61" "21" 6.5 18
"62" "21" 8.5 22
"63" "21" 10.5 26
"64" "22" 6.5 22
"65" "22" 8.5 27
"66" "22" 10.5 45
"67" "23" 6.5 14
"68" "23" 8.5 37
"69" "23" 10.5 37
"70" "24" 6.5 18
"71" "24" 8.5 40
"72" "24" 10.5 35
"73" "25" 6.5 29
"74" "25" 8.5 31
"75" "25" 10.5 43
"76" "26" 6.5 17
"77" "26" 8.5 23
"78" "26" 10.5 21
"79" "27" 6.5 19
"80" "27" 8.5 36
"81" "27" 10.5 57
"82" "28" 6.5 4
"83" "28" 8.5 27
"84" "28" 10.5 28
"85" "29" 6.5 18
"86" "29" 8.5 24
"87" "29" 10.5 45
"88" "30" 6.5 18
"89" "30" 8.5 44
"90" "30" 10.5 51
"91" "31" 6.5 18
"92" "31" 8.5 31
"93" "31" 10.5 51
"94" "32" 6.5 24
"95" "32" 8.5 39
"96" "32" 10.5 48
"97" "33" 6.5 18
"98" "33" 8.5 34
"99" "33" 10.5 29
"100" "34" 6.5 17
"101" "34" 8.5 36
"102" "34" 10.5 37
"103" "35" 6.5 18
"104" "35" 8.5 21
"105" "35" 10.5 28
"106" "36" 6.5 16
"107" "36" 8.5 38
"108" "36" 10.5 47
"109" "37" 6.5 18
"110" "37" 8.5 40
"111" "37" 10.5 47
"112" "38" 6.5 22
"113" "38" 8.5 36
"114" "38" 10.5 34
"115" "39" 6.5 18
"116" "39" 8.5 41
"117" "39" 10.5 48
"118" "40" 6.5 19
"119" "40" 8.5 40
"120" "40" 10.5 46
"121" "41" 6.5 18
"122" "41" 8.5 28
"123" "41" 10.5 36
"124" "42" 6.5 18
"125" "42" 8.5 28
"126" "42" 10.5 47
"127" "43" 6.5 20
"128" "43" 8.5 36
"129" "43" 10.5 45
"130" "44" 6.5 18
"131" "44" 8.5 28
"132" "44" 10.5 41
"133" "45" 6.5 16
"134" "45" 8.5 34
"135" "45" 10.5 43
"136" "46" 6.5 25
"137" "46" 8.5 45
"138" "46" 10.5 49
"139" "47" 6.5 18
"140" "47" 8.5 24
"141" "47" 10.5 31
"142" "48" 6.5 17
"143" "48" 8.5 27
"144" "48" 10.5 29
"145" "49" 6.5 19
"146" "49" 8.5 32
"147" "49" 10.5 48
"148" "50" 6.5 43
"149" "50" 8.5 55
"150" "50" 10.5 61
"151" "51" 6.5 20
"152" "51" 8.5 24
"153" "51" 10.5 32
"154" "52" 6.5 18
"155" "52" 8.5 46
"156" "52" 10.5 47
"157" "53" 6.5 18
"158" "53" 8.5 29
"159" "53" 10.5 40
"160" "54" 6.5 28
"161" "54" 8.5 56
"162" "54" 10.5 61
"163" "55" 6.5 18
"164" "55" 8.5 20
"165" "55" 10.5 40
"166" "56" 6.5 21
"167" "56" 8.5 30
"168" "56" 10.5 38
"169" "57" 6.5 21
"170" "57" 8.5 22
"171" "57" 10.5 47
"172" "58" 6.5 18
"173" "58" 8.5 22
"174" "58" 10.5 21
"175" "59" 6.5 16
"176" "59" 8.5 21
"177" "59" 10.5 32
"178" "60" 6.5 29
"179" "60" 8.5 37
"180" "60" 10.5 48
"181" "61" 6.5 21
"182" "61" 8.5 32
"183" "61" 10.5 47
"184" "62" 6.5 19
"185" "62" 8.5 20
"186" "62" 10.5 26
"187" "63" 6.5 18
"188" "63" 8.5 34
"189" "63" 10.5 41
"190" "64" 6.5 28
"191" "64" 8.5 30
"192" "64" 10.5 31
"193" "65" 6.5 21
"194" "65" 8.5 28
"195" "65" 10.5 43
"196" "66" 6.5 18
"197" "66" 8.5 25
"198" "66" 10.5 32
"199" "67" 6.5 20
"200" "67" 8.5 24
"201" "67" 10.5 39
"202" "68" 6.5 22
"203" "68" 8.5 30
"204" "68" 10.5 42
"205" "69" 6.5 26
"206" "69" 8.5 47
"207" "69" 10.5 45
"208" "70" 6.5 22
"209" "70" 8.5 45
"210" "70" 10.5 40
"211" "71" 6.5 22
"212" "71" 8.5 41
"213" "71" 10.5 53
"214" "72" 6.5 18
"215" "72" 8.5 24
"216" "72" 10.5 40
"217" "73" 6.5 26
"218" "73" 8.5 28
"219" "73" 10.5 28
"220" "74" 6.5 26
"221" "74" 8.5 28
"222" "74" 10.5 30
"223" "75" 6.5 18
"224" "75" 8.5 24
"225" "75" 10.5 26
"226" "76" 6.5 31
"227" "76" 8.5 41
"228" "76" 10.5 62
"229" "77" 6.5 17
"230" "77" 8.5 19
"231" "77" 10.5 28
"232" "78" 6.5 42
"233" "78" 8.5 29
"234" "78" 10.5 30
"235" "79" 6.5 28
"236" "79" 8.5 42
"237" "79" 10.5 50
"238" "80" 6.5 23
"239" "80" 8.5 39
"240" "80" 10.5 55
"241" "81" 6.5 28
"242" "81" 8.5 47
"243" "81" 10.5 53
"244" "82" 6.5 26
"245" "82" 8.5 44
"246" "82" 10.5 32
"247" "83" 6.5 19
"248" "83" 8.5 35
"249" "83" 10.5 51
"250" "84" 6.5 18
"251" "84" 8.5 32
"252" "84" 10.5 40
"253" "85" 6.5 29
"254" "85" 8.5 47
"255" "85" 10.5 45
"256" "86" 6.5 16
"257" "86" 8.5 20
